Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
71439,MORTEMART,87330,MORTEMART,,46.112617356, 0.896746440713
71440,LE PALAIS SUR VIENNE,87410,LE PALAIS SUR VIENNE,,45.8735475592, 1.3247561842
71441,PANAZOL,87350,PANAZOL,,45.8410585352, 1.32364784585
71442,BOISCHAMPRE,61570,BOISCHAMPRE,VRIGNY,48.6574688891, 0.0273677647898
71443,ST DENIS SUR SARTHON,61420,ST DENIS SUR SARTHON,,48.4829812527, -0.0377038824512
71443,ST GEORGES DES GROSEILLERS,61100,ST GEORGES DES GROSEILLERS,,48.7672025982, -0.554045579271
71444,ST HILAIRE LA GERARD,61500,ST HILAIRE LA GERARD,,48.5847584341, 0.153667553772
71445,ST HILAIRE LE CHATEL,61400,ST HILAIRE LE CHATEL,,48.4945116635, 0.586458131238
71446,STE HONORINE LA GUILLAUME,61210,STE HONORINE LA GUILLAUME,,48.7855684657, -0.252751523402
71447,ST MARS D EGRENNE,61350,ST MARS D EGRENNE,,48.5245489295, -0.754028854445
71448,ST MARTIN DU VIEUX BELLEME,61130,ST MARTIN DU VIEUX BELLEME,,48.3285954203, 0.552655257465
71449,STE OPPORTUNE,61100,STE OPPORTUNE,,48.7672025982, -0.554045579271
71450,ST OUEN DE SECHEROUVRE,61560,ST OUEN DE SECHEROUVRE,,48.5537454503, 0.466186712804
71451,ST OUEN SUR ITON,61300,ST OUEN SUR ITON,,48.7504901636, 0.660134784459
71452,ST PIERRE D ENTREMONT,61800,ST PIERRE D ENTREMONT,,48.7506646521, -0.721947401211
71453,ST PIERRE DU REGARD,61790,ST PIERRE DU REGARD,,48.8337910977, -0.541339755548
71454,STE SCOLASSE SUR SARTHE,61170,STE SCOLASSE SUR SARTHE,,48.5356113416, 0.35155128449
71455,SAIRES LA VERRERIE,61220,SAIRES LA VERRERIE,,48.6912403001, -0.398336415364
71456,LES MONTS D ANDAINE,61600,LES MONTS D ANDAINE,ST MAURICE DU DESERT,48.5956941307, -0.336692342986
71457,SEVRAI,61150,SEVRAI,,48.689271735, -0.160878678155
71458,SOLIGNY LA TRAPPE,61380,SOLIGNY LA TRAPPE,,48.6465591263, 0.503213042824
71459,TANVILLE,61500,TANVILLE,,48.5847584341, 0.153667553772
71460,TESSE FROULAY,61410,TESSE FROULAY,,48.5523953273, -0.396121387013
71461,VAL AU PERCHE,61130,VAL AU PERCHE,GEMAGES,48.3285954203, 0.552655257465
71462,TINCHEBRAY BOCAGE,61800,TINCHEBRAY BOCAGE,LARCHAMP,48.7506646521, -0.721947401211
71463,TORCHAMP,61330,TORCHAMP,,48.5202783735, -0.60354646707
71464,TOUROUVRE AU PERCHE,61190,TOUROUVRE AU PERCHE,AUTHEUIL,48.6388542331, 0.724411642307
